"Item_Number","Set_Name","Price","Pieces","Theme","Size"
"41916","Extra Dots - Series 2",3.99,109,"DOTS","Small"
"41908","Extra Dots - Series 1",3.99,109,"DOTS","Small"
"11006","Creative Blue Bricks",4.99,52,"Classic","Small"
"11007","Creative Green Bricks",4.99,60,"Classic","Small"
"41901","Funky Animals Bracelet",4.99,33,"DOTS","Small"
"41902","Sparkly Unicorn Bracelet",4.99,33,"DOTS","Small"
"41903","Cosmic Wonder Bracelet",4.99,33,"DOTS","Small"
"41911","Go Team! Bracelet",4.99,33,"DOTS","Small"
"41912","Love Birds Bracelet",4.99,33,"DOTS","Small"
"41917","Magic Forest Bracelet",4.99,33,"DOTS","Small"
"41919","Power Bracelet",4.99,33,"DOTS","Small"
"10917","Fire Truck",6.99,6,"DUPLO","Large"
"10918","Tow Truck",6.99,7,"DUPLO","Large"
"41386","Stephanie's Summer Heart Box",7.99,95,"Friends","Small"
"11010","White Baseplate",7.99,1,"Classic","Small"
"10883","My First Tow Truck",9.99,11,"DUPLO","Large"
"10766","Woody & RC",9.99,69,"Disney","Small"
"41388","Mia's Summer Heart Box",7.99,85,"Friends","Small"
"41387","Olivia's Summer Heart Box",7.99,93,"Friends","Small"
"60239","Police Patrol Car",9.99,92,"City","Small"
"41452","Prince Puppycorn Trike",9.99,101,"Unikitty!","Small"
"71714","Kai Avatar - Arcade Pod",9.99,49,"NINJAGO","Small"
"71715","Jay Avatar - Arcade Pod",9.99,47,"NINJAGO","Small"
"10897","My First Minnie Build",9.99,10,"Disney","Small"
"10900","Police Bike",9.99,8,"DUPLO","Large"
"10927","Pizza Stand",9.99,18,"DUPLO","Large"
"41360","Emma's Mobile Veterinary Clinic",9.99,50,"Friends","Small"
"60212","Barbecue Burn Out",9.99,64,"City","Small"
"60251","Monster Truck",9.99,55,"City","Small"
"60206","Jet Patrol",9.99,54,"City","Small"
"60219","Construction Loader",9.99,88,"City","Small"
"60255","Stunt Team",9.99,62,"City","Small"
"71706","Cole's Speeder Car",9.99,52,"NINJAGO","Small"
"41389","Ice Cream Cart",9.99,97,"Friends","Small"
"41396","Puppy Playground",9.99,57,"Friends","Small"
"60241","Police Dog Unit",9.99,67,"City","Small"
"75263","Resistance Y-wing Microfighter",9.99,86,"Star Wars","Small"
"60249","Street Sweeper",9.99,89,"City","Small"
"60250","Mail Plane",9.99,74,"City","Small"
"60224","Satellite Service Mission",9.99,84,"City","Small"
"60247","Forest Fire",9.99,84,"City","Small"
"71700","Jungle Raider",9.99,127,"NINJAGO","Small"
"41451","Unikitty Cloud Car",9.99,126,"Unikitty!","Small"
"10860","My First Race Car",4.99,6,"DUPLO","Large"
"60263","Ocean Mini-Submarine",9.99,41,"City","Small"
"41425","Olivia's Flower Garden",9.99,92,"Friends","Small"
"43173","Aurora's Royal Carriage",9.99,62,"Disney","Small"
"71716","Lloyd Avatar - Arcade Pod",9.99,48,"NINJAGO","Small"
"43170","Moana's Ocean Adventure",9.99,46,"Disney","Small"
"21162","The Taiga Adventure",9.99,74,"Minecraft","Small"
"75264","Kylo Ren's Shuttle Microfighter",9.99,72,"Star Wars","Small"
"76141","Thanos Mech",9.99,152,"Marvel","Small"
"76140","Iron Man Mech",9.99,148,"Marvel","Small"
"76146","Spider-Man Mech",9.99,152,"Marvel","Small"
"31099","Propeller Plane",9.99,128,"Creator 3-in-1","Small"
"31100","Sports Car",9.99,134,"Creator 3-in-1","Small"
"76158","Batboat The Penguin Pursuit!",9.99,54,"Batman","Small"
"11001","Bricks and Ideas",9.99,123,"Classic","Small"
"76089","Mighty Micros: Scarlet Spider vs. Sandman",9.99,89,"Marvel","Small"
"10870","Farm Animals",9.99,16,"DUPLO","Large"
"10898","My First Mickey Build",9.99,9,"Disney","Small"
"60191","Arctic Exploration Team",9.99,70,"City","Small"
"21157","BigFig Pig with Baby Zombie",14.99,159,"Minecraft","Small"
"31087","Dune Buggy",12.99,147,"Creator 3-in-1","Small"
"21156","BigFig Creeper and Ocelot",14.99,184,"Minecraft","Small"
"31101","Monster Truck",14.99,163,"Creator 3-in-1","Small"
"60237","Curves & Crossroad",14.99,2,"City","Small"
"70822","Unikitty's Sweetest Friends EVER!",9.99,76,"THE LEGO MOVIE 2","Small"
"41357","Olivia's Heart Box",7.99,85,"Friends","Small"
"42101","Buggy",12.99,117,"Technic","Small"
"75891","Chevrolet Camaro ZL1 Race Car",14.99,198,"Speed Champions","Small"
"75892","McLaren Senna",14.99,219,"Speed Champions","Small"
"31086","Futuristic Flyer",14.99,157,"Creator 3-in-1","Small"
"31088","Deep Sea Creatures",14.99,230,"Creator 3-in-1","Small"
"41607","Gamora",9.99,136,"BrickHeadz","Small"
"42102","Mini CLAAS XERION",12.99,130,"Technic","Small"
"75895","1974 Porsche 911 Turbo 3.0",14.99,180,"Speed Champions","Small"
"75266","Sith Troopers Battle Pack",14.99,105,"Star Wars","Small"
"75267","Mandalorian Battle Pack",14.99,102,"Star Wars","Small"
"10714","Blue Baseplate",7.99,1,"Classic","Small"
"10925","Playroom",14.99,17,"DUPLO","Large"
"60236","Straight & T-Junction",14.99,2,"City","Small"
"75246","Death Star Cannon",19.99,159,"Star Wars","Small"
"10401","Rainbow Fun",4.99,85,"Classic","Small"
"41608","Han Solo",9.99,141,"Star Wars","Small"
"60190","Arctic Ice Glider",6.99,50,"City","Small"
"41169","Olaf",14.99,122,"LEGO Frozen 2","Small"
"60238","Switch Tracks",15.99,8,"City","Small"
"70682","Spinjitzu Slam - Jay",9.99,72,"NINJAGO","Small"
"71372","Cat Mario Power-Up Pack",9.99,11,"LEGO Super Mario","Small"
"41385","Emma's Summer Heart Box",7.99,86,"Friends","Small"
"41905","Rainbow Jewellery Stand",14.99,213,"DOTS","Small"
"10926","Bedroom",14.99,16,"DUPLO","Large"
"41904","Animal Picture Holders",14.99,423,"DOTS","Small"
"41356","Stephanie's Heart Box",7.99,85,"Friends","Small"
"41384","Andrea's Summer Heart Box",7.99,83,"Friends","Small"
"70645","Cole - Dragon Master",14.99,92,"NINJAGO","Small"
"70665","The Samurai Mech",14.99,154,"NINJAGO","Small"
"70824","Introducing Queen Watevra Wa'Nabi",19.99,115,"THE LEGO MOVIE 2","Small"
"75890","Ferrari F40 Competizione",14.99,198,"Speed Champions","Small"
"31092","Helicopter Adventure",9.99,114,"Creator 3-in-1","Small"
"70681","Spinjitzu Slam - Lloyd",9.99,70,"NINJAGO","Small"
"41408","Mia's Play Cube - Cinema",9.99,37,"Friends","Small"
"71370","Fire Mario Power-Up Pack",9.99,11,"LEGO Super Mario","Small"
"70680","Monastery Training",9.99,122,"NINJAGO","Small"
"70848","Systar Party Crew",19.99,196,"THE LEGO MOVIE 2","Small"
"41453","Party Time",19.99,214,"Unikitty!","Small"
"43174","Mulan's Storybook Adventures",19.99,124,"Disney","Small"
"10894","Toy Story Train",19.99,21,"Disney","Small"
"10713","Creative Suitcase",19.99,213,"Classic","Small"
"10771","Carnival Thrill Coaster",19.99,98,"Disney","Small"
