"totalrent";"livingspace";"balcony";"yearconstructed";"haskitchen";"floor";"interiorqual"
1415;101;"ja";1965;"ja";1;3
1445;117;"nein";1990;"nein";1;2
1073;84;"ja";1950;"ja";2;3
1031;67;"nein";1972;"nein";2;2
1429;112;"ja";1956;"nein";2;3
970;65;"nein";1972;"ja";1;3
484;45;"nein";1972;"ja";1;2
436;30;"nein";1960;"ja";2;2
655;34;"ja";1959;"ja";4;2
1185;38;"ja";2020;"ja";0;3
844;62;"ja";1955;"ja";4;2
960;80;"ja";1969;"nein";3;2
1079;69;"ja";2019;"nein";5;3
697;68;"ja";1967;"nein";3;2
547;36;"ja";1972;"nein";6;3
1640;102;"ja";2012;"nein";4;3
599;33;"nein";1963;"ja";6;3
905;69;"ja";1972;"ja";0;3
1502;96;"ja";1910;"nein";2;3
1776;130;"ja";1958;"ja";1;3
1392;146;"ja";1910;"ja";4;3
1077;70;"ja";1954;"nein";3;2
1317;99;"ja";1972;"nein";3;2
736;52;"ja";2012;"ja";4;3
1280;40;"ja";2020;"ja";0;3
820;68;"ja";1972;"nein";4;2
1106;90;"ja";1985;"ja";1;2
777;51;"nein";1950;"nein";4;2
1393;103;"ja";1965;"ja";1;3
543;25;"ja";1972;"ja";1;2
873;49;"ja";2018;"ja";0;3
717;52;"ja";1983;"ja";3;2
1009;73;"ja";1972;"nein";3;3
3692;202;"ja";2016;"ja";6;4
1159;90;"ja";1929;"ja";4;3
1341;87;"ja";1957;"ja";4;2
1691;116;"ja";2016;"nein";4;3
795;60;"ja";1970;"nein";0;3
973;63;"nein";1972;"nein";5;3
1173;73;"ja";2002;"ja";0;3
964;68;"ja";1959;"nein";1;3
1134;81;"ja";2005;"nein";1;3
1449;68;"ja";1961;"ja";7;3
1237;39;"ja";1984;"ja";2;3
1427;76;"ja";2020;"nein";5;3
583;27;"ja";1972;"ja";1;2
1766;111;"ja";2019;"ja";0;3
967;43;"ja";1972;"ja";3;4
733;69;"ja";1969;"nein";6;2
729;25;"nein";2020;"ja";0;3
600;53;"ja";1969;"nein";0;2
736;61;"nein";1938;"nein";4;2
1615;128;"ja";1999;"ja";3;3
1024;71;"nein";1936;"ja";3;2
814;26;"nein";2020;"ja";0;3
1207;45;"ja";1984;"ja";2;3
1730;96;"nein";2014;"nein";0;3
749;30;"ja";1972;"ja";4;3
943;56;"ja";1972;"ja";0;3
1736;103;"ja";1960;"nein";2;3
826;69;"ja";1980;"nein";1;1
1703;123;"nein";1972;"nein";0;2
602;54;"nein";1986;"nein";2;2
1134;80;"ja";2002;"ja";0;3
680;44;"ja";1955;"ja";1;2
750;32;"nein";1959;"ja";2;2
651;37;"ja";1955;"ja";1;2
1381;89;"nein";2018;"nein";2;3
1652;143;"ja";1959;"ja";0;2
764;35;"nein";1959;"ja";2;2
2130;148;"ja";1984;"ja";0;3
977;70;"ja";1994;"nein";2;3
1512;121;"ja";2019;"nein";1;3
931;56;"ja";1972;"ja";0;3
2497;120;"ja";2005;"nein";0;3
816;67;"nein";1970;"nein";4;2
424;31;"nein";1960;"ja";2;2
1706;126;"nein";1972;"nein";0;2
878;56;"ja";1976;"ja";3;3
1464;79;"ja";2014;"ja";0;4
532;32;"ja";1972;"nein";1;2
552;21;"nein";1957;"ja";5;3
1144;60;"nein";1903;"nein";1;3
3163;250;"ja";1951;"nein";2;3
1219;94;"ja";1929;"nein";5;3
642;59;"ja";1964;"nein";0;2
1206;71;"ja";2019;"ja";2;4
752;47;"ja";2018;"ja";0;3
920;67;"ja";2013;"nein";2;3
1220;81;"ja";1963;"nein";1;3
954;62;"nein";1972;"nein";5;3
570;32;"nein";1963;"ja";6;3
723;66;"ja";1935;"nein";4;2
1108;70;"ja";2019;"nein";5;3
1048;71;"ja";1911;"ja";0;2
1197;84;"ja";1963;"nein";1;3
783;71;"ja";1969;"nein";6;2
1050;86;"ja";1969;"nein";1;2
745;62;"ja";1964;"nein";0;2
871;73;"ja";1973;"nein";1;3
670;21;"ja";2018;"ja";2;3
1028;89;"ja";1983;"ja";2;3
702;35;"ja";1959;"ja";4;2
1326;85;"ja";2002;"ja";0;3
978;73;"ja";1972;"nein";3;3
1474;113;"ja";1936;"nein";1;2
822;55;"ja";1984;"ja";6;3
1715;101;"ja";2019;"nein";2;3
660;52;"ja";1954;"nein";0;2
1071;80;"ja";1966;"nein";0;2
907;72;"ja";1972;"nein";3;2
574;26;"nein";1972;"ja";3;3
726;60;"ja";1972;"nein";4;2
1165;53;"ja";1950;"ja";1;3
1078;82;"ja";2004;"ja";2;3
1005;64;"nein";1903;"nein";1;3
693;45;"ja";1972;"ja";2;3
1073;85;"ja";2004;"ja";2;3
687;59;"nein";1960;"nein";1;3
1004;72;"ja";1989;"ja";2;3
1200;72;"ja";2002;"ja";0;3
1037;100;"ja";1984;"nein";1;2
962;101;"ja";1981;"nein";4;2
1180;99;"nein";1996;"nein";4;2
1067;74;"ja";1954;"nein";5;2
1044;80;"ja";1972;"nein";3;3
1455;92;"ja";1957;"ja";4;2
890;68;"ja";1978;"nein";1;3
659;51;"nein";1965;"nein";4;2
696;24;"ja";2018;"ja";2;3
1425;103;"ja";1972;"ja";3;3
1265;79;"ja";1955;"nein";4;3
1471;99;"ja";2016;"ja";3;3
575;37;"nein";1963;"ja";6;3
1972;100;"ja";1955;"nein";5;4
803;62;"nein";1951;"nein";0;3
1515;107;"ja";1907;"ja";1;3
559;42;"ja";1956;"nein";4;2
944;72;"ja";1972;"nein";3;2
1454;100;"ja";1972;"ja";3;3
1466;95;"ja";1957;"ja";4;2
1067;64;"nein";1972;"nein";2;2
822;61;"ja";1999;"nein";5;3
1409;86;"nein";2018;"nein";2;3
1018;105;"ja";1949;"ja";3;2
938;81;"ja";1969;"nein";3;2
1171;81;"ja";1954;"nein";5;2
1099;78;"ja";2003;"nein";5;2
465;39;"ja";1958;"nein";3;2
1677;106;"ja";2019;"ja";0;3
1618;71;"ja";1961;"ja";7;3
3149;207;"ja";1989;"nein";1;4
1289;98;"ja";1959;"nein";4;2
526;35;"nein";1991;"ja";3;2
785;63;"ja";1954;"ja";2;3
1601;87;"ja";1958;"nein";2;3
740;61;"nein";1960;"nein";2;2
1033;63;"ja";1992;"ja";2;3
1972;119;"ja";2019;"nein";2;3
562;62;"ja";1964;"nein";1;2
549;31;"ja";1972;"ja";3;2
1238;83;"ja";1955;"nein";4;3
571;41;"nein";1972;"nein";4;2
1796;155;"ja";1972;"ja";3;3
515;34;"ja";1972;"nein";1;2
1121;60;"nein";1972;"ja";1;3
